kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Timur,"Condet, Jakarta Timur",124,240,4,3,Tidak,Tidak,1700000000.0
Jakarta Timur,"Duren Sawit Jakarta timur                                        Duren Sawit, Jakarta Timur",135,190,4,4,Tidak,Tidak,3750000000.0
Jakarta Timur,"Duren Sawit, Jakarta Timur",56,56,2,1,Ada,Tidak,265000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",105,88,3,3,Ada,Tidak,1200000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",198,240,7,2,Tidak,Tidak,3000000000.0
Jakarta Pusat,"Jl. Cirendeu, BinaKarya, Jaya Mekar, Padalarang, Bandung Barat                                        Cikini, Jakarta Pusat",60,60,3,2,Ada,Ada,500000000.0
Jakarta Barat,"Jln.puring no.3                                         Palmerah, Jakarta Barat",240,150,3,3,Ada,Tidak,2700000000.0
Jakarta Utara,"Pantai Indah Kapuk 2                                        Pantai Indah Kapuk, Jakarta Utara",150,192,4,4,Tidak,Tidak,4348000000.0
Jakarta Barat,"Jalan Kesederhanaan, Jakarta Barat, Indonesia                                        Keagungan, Jakarta Barat",200,160,3,3,Tidak,Tidak,2650000000.0
Jakarta Selatan,"Pejaten Timur, Jakarta Selatan",60,60,3,2,Ada,Tidak,775000000.0
Jakarta Timur,"Pasar Rebo, Jakarta Timur",66,40,2,1,Ada,Ada,495000000.0
Jakarta Pusat,"Jl. Johar Baru                                        Johar Baru, Jakarta Pusat",109,240,5,2,Tidak,Tidak,3250000000.0
Jakarta Timur,"Pulo Gadung, Jakarta Timur",55,55,2,1,Tidak,Tidak,300000000.0
Jakarta Timur,"Pulo Gadung, Jakarta Timur",60,32,2,1,Tidak,Tidak,446006000.0
Jakarta Barat,"Jalan Duri Kosambi, Jakarta Barat 11750, Indonesia                                        Duri Kosambi, Jakarta Barat",90,102,3,2,Ada,Tidak,1950000000.0
Jakarta Selatan,"Kebagusan                                        Ragunan, Jakarta Selatan",264,400,4,4,Tidak,Tidak,6700000000.0
Jakarta Timur,"Cilangkap, Jakarta Timur",97,75,3,2,Tidak,Tidak,885000000.0
Jakarta Barat,"Tanah Sereal, Jakarta Barat",30,30,2,1,Tidak,Tidak,170000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",61,100,3,3,Tidak,Tidak,1825000000.0
Jakarta Pusat,"Kemayoran, Jakarta Pusat                                        Kemayoran, Jakarta Pusat",110,150,3,3,Ada,Tidak,2000000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",60,55,2,2,Tidak,Tidak,299000000.0
Jakarta Selatan,"Cipete Jakarta Selatan                                        Cipete, Jakarta Selatan",1025,427,7,7,Tidak,Tidak,19300000000.0
Jakarta Selatan,"Pejaten Timur, Jakarta Selatan",40,65,2,2,Ada,Ada,400000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",54,54,2,1,Tidak,Tidak,265000000.0
Jakarta Selatan,"Lenteng Agung, Jakarta Selatan",55,55,2,2,Tidak,Tidak,300000000.0
Jakarta Timur,"Cakung, Jakarta Timur",25,50,1,1,Tidak,Tidak,260000000.0
Jakarta Utara,"Kelapa Gading, Jakarta Utara",105,120,3,2,Tidak,Tidak,1900000000.0
Jakarta Timur,"Cililitan, Jakarta Timur",42,30,2,1,Ada,Tidak,165000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",60,60,1,1,Tidak,Tidak,135000000.0
Jakarta Utara,"Kelapa Gading, Jakarta Utara",102,156,3,2,Tidak,Tidak,1700000000.0
Jakarta Utara,"Kelapa Gading (Jakarta Utara)                                        Kelapa Gading, Jakarta Utara",102,105,3,2,Ada,Tidak,1850000000.0
Jakarta Utara,"Jalan Paradise Raya 2, Jakarta Utara 14330, Indonesia                                        Sunter, Jakarta Utara",266,500,6,6,Ada,Tidak,7200000000.0
Jakarta Barat,"Cengkareng Barat, Jakarta Barat",48,150,5,5,Ada,Tidak,1650000000.0
Jakarta Utara,"Cilincing, Jakarta Utara",124,89,3,2,Tidak,Tidak,1300000000.0
Jakarta Barat,"Grogol Petamburan, Jakarta Barat",203,203,1,1,Tidak,Tidak,4000000000.0
Jakarta Barat,"Kalideres, Jakarta Barat                                         Kalideres, Jakarta Barat",80,70,3,2,Ada,Tidak,1500000000.0
Jakarta Timur,"Rawamangun, Jakarta Timur",215,225,5,3,Tidak,Tidak,3800000000.0
Jakarta Selatan,"Jl.Antene  Radiodalam-Kebayoran Baru                                        Radio Dalam, Jakarta Selatan",100,220,4,3,Tidak,Tidak,3600000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",50,40,2,1,Ada,Ada,350000000.0
Jakarta Selatan,"Bintaro, Jakarta Selatan",80,196,3,3,Ada,Ada,1250000000.0
Jakarta Timur,"Ciracas-Cileungsi                                        Ciracas, Jakarta Timur",85,30,2,1,Ada,Tidak,250000000.0
Jakarta Utara,"Rajawali                                        Pademangan, Jakarta Utara",480,249,6,3,Tidak,Tidak,10500000000.0
Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",60,48,2,1,Tidak,Tidak,395000000.0
Jakarta Utara,"Pantai Indah Kapuk, Jakarta Utara",120,179,3,3,Ada,Ada,4000000000.0
Jakarta Timur,"Kota Wisata, Jakarta Timur",105,125,4,2,Ada,Ada,1250000000.0
Jakarta Barat,"Mangga Besar, Jakarta Barat",52,156,4,2,Tidak,Tidak,1000000000.0
Jakarta Timur,"Cakung (Jakarta Timur)                                        Cakung, Jakarta Timur",84,120,3,2,Ada,Tidak,1000000000.0
Jakarta Pusat,"Cempaka Putih, Jakarta Pusat",138,146,3,3,Tidak,Tidak,3600000000.0
Jakarta Selatan,"Kebayoran Lama, Jakarta Selatan",60,60,2,1,Tidak,Tidak,400000000.0
Jakarta Selatan,"Pondok Labu, Cilandak, Jakarta Selatan                                        Cilandak, Jakarta Selatan",160,200,3,3,Tidak,Tidak,3300000000.0
Jakarta Selatan,"Pondok Pinang, Jakarta Selatan",121,260,4,4,Tidak,Tidak,2500000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",80,70,4,4,Tidak,Tidak,800000000.0
Jakarta Timur,"Jalan Galur Sari Timur                                        Utan Kayu, Jakarta Timur",378,500,6,6,Ada,Tidak,6500000000.0
Jakarta Selatan,"Bintaro, Jakarta Selatan",50,36,2,1,Tidak,Tidak,270000000.0
Jakarta Barat,"Tambora, Jakarta Barat",60,100,3,2,Tidak,Tidak,875000000.0
Jakarta Timur,"Jalan Cilangkap Baru, Jakarta Timur 13870, Indonesia                                        Cilangkap, Jakarta Timur",72,65,2,2,Ada,Ada,750000000.0
Jakarta Barat,Jakarta Barat,90,145,4,2,Tidak,Tidak,1850000000.0
Jakarta Timur,Jakarta Timur,102,75,4,4,Tidak,Tidak,1885000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",119,90,3,2,Tidak,Tidak,1400000000.0
Jakarta Timur,"Duren Sawit, Jakarta Timur",60,55,2,2,Tidak,Tidak,299000000.0
Jakarta Timur,"Cipayung                                        Cipayung, Jakarta Timur",200,150,3,2,Tidak,Tidak,1400000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",173,300,3,4,Tidak,Tidak,4000000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",78,36,2,1,Ada,Tidak,500000000.0
Jakarta Barat,"Jembatan Lima, Jakarta Barat",60,150,3,2,Tidak,Tidak,850000000.0
Jakarta Utara,"Rumah Pantai Mutiara 425m2 ada Dermaga Private Full Furnished SHM                                        Pluit, Jakarta Utara",425,800,8,8,Ada,Ada,31000000000.0
Jakarta Timur,"Duren Sawit, Jakarta Timur",130,160,1,1,Tidak,Tidak,1300000000.0
Jakarta Timur,"Jl TMII III bambu apus                                         Bambu Apus, Jakarta Timur",509,350,6,5,Tidak,Tidak,5850000000.0
Jakarta Selatan,"Tanjung Barat, Jakarta Selatan",130,200,5,3,Tidak,Tidak,2400000000.0
Jakarta Selatan,"Kebagusan 3                                        Kebagusan, Jakarta Selatan",50,50,2,2,Tidak,Tidak,270000000.0
Jakarta Selatan,"Jalan Taman Kemang Jaya, Jakarta Selatan 12940, Indonesia                                        Kemang, Jakarta Selatan",932,1326,8,8,Ada,Tidak,35000000000.0
Jakarta Timur,"Lubang Buaya, Jakarta Timur",35,30,2,1,Tidak,Tidak,165000000.0
Jakarta Barat,"Grogol Petamburan, Jakarta Barat",700,900,11,11,Tidak,Tidak,17500000000.0
Jakarta Selatan,"Jalan Darmajaya Pejaten, Jakarta Selatan 12510, Indonesia                                        Pejaten Barat, Jakarta Selatan",116,150,3,3,Tidak,Tidak,2200000000.0
Jakarta Timur,"Dukuh, Jakarta Timur",90,140,10,3,Tidak,Tidak,950000000.0
Jakarta Selatan,"Kemang, Jakarta Selatan",552,200,4,3,Tidak,Tidak,9500000000.0
Jakarta Barat,"TAMAN PERMATA BUANA                                        Kembangan, Jakarta Barat",200,450,5,3,Ada,Tidak,6200000000.0
Jakarta Barat,"Kembangan Utara, Jakarta Barat",160,250,6,3,Tidak,Tidak,7000000000.0
Jakarta Utara,"Sunter, Jakarta Utara",160,170,5,3,Tidak,Tidak,595000000.0
Jakarta Barat,"pekapuran jakarta barat                                        Tambora, Jakarta Barat",144,444,7,7,Tidak,Tidak,4000000000.0
Jakarta Timur,"Condet, Jakarta Timur",50,90,2,1,Tidak,Tidak,575000000.0
Jakarta Barat,"GREEN COURT                                        Cengkareng, Jakarta Barat",90,120,3,3,Tidak,Tidak,2500000000.0
Jakarta Utara,"Sunter, Jakarta Utara",34,50,2,2,Tidak,Tidak,700000000.0
Jakarta Selatan,"Permata Hijau, Jakarta Selatan",499,1000,4,4,Tidak,Tidak,19500000000.0
Jakarta Barat,"jln utama perumahan duri kosambi                                        Duri Kosambi, Jakarta Barat",215,300,5,3,Tidak,Tidak,3700000000.0
Jakarta Barat,"Jalan Srengseng Raya, Jakarta Barat 11630, Indonesia                                        Srengseng, Jakarta Barat",80,150,3,2,Tidak,Tidak,925000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",112,80,3,2,Tidak,Tidak,2300000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",65,65,3,2,Ada,Ada,672000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",503,660,4,4,Tidak,Tidak,6500000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",148,74,3,3,Ada,Ada,1500000000.0
Jakarta Timur,"Lubang Buaya, Jakarta Timur",51,50,2,1,Tidak,Tidak,450000000.0
Jakarta Timur,"Condet, Jakarta Timur",44,40,1,1,Tidak,Tidak,500000000.0
Jakarta Selatan,"Kalibata, Jakarta Selatan",110,100,3,3,Ada,Ada,1700000000.0
Jakarta Timur,"Cakung, Jakarta Timur",29,30,2,2,Tidak,Tidak,299000000.0
Jakarta Barat,"Sukabumi Selatan, Jakarta Barat",185,180,7,3,Tidak,Tidak,3200000000.0
Jakarta Barat,"Rawa Buaya, Jakarta Barat",150,80,3,2,Tidak,Tidak,1125000000.0
Jakarta Timur,"Jln.alternative cibubur                                         Cibubur, Jakarta Timur",200,240,5,5,Tidak,Tidak,3700000000.0
Jakarta Barat,"Tanjung Duren, Jakarta Barat",53,86,3,1,Tidak,Tidak,850000000.0
Jakarta Timur,"Pondok Bambu, Jakarta Timur",195,170,4,3,Tidak,Tidak,2250000000.0
Jakarta Utara,"Perumahan Taman Nyiur                                        Sunter Agung, Jakarta Utara",140,350,4,4,Ada,Tidak,3100000000.0
Jakarta Timur,"Legenda Wisata, Jakarta Timur",136,150,4,3,Tidak,Tidak,1200000000.0
Jakarta Utara,"Perumahan Kary Cilincing Blok B3 No. 9, Kel. Cilincing, Kec. Cilincing, Kota Jakarta Utara, Provinsi DKI Jakarta                                        Cilincing, Jakarta Utara",90,75,2,2,Tidak,Tidak,160000000.0
Jakarta Selatan,"Pondok Ranji Kel., Ciputat Timur, Tangerang Selatan, JABODETABEK, Indonesia                                        Jagakarsa, Jakarta Selatan",60,36,2,2,Tidak,Tidak,110000000.0
Jakarta Selatan,"duren tiga , jakarta selatan                                        Duren Tiga, Jakarta Selatan",319,319,5,5,Ada,Tidak,9200000000.0
Jakarta Timur,"Makasar, Jakarta Timur",150,120,3,2,Tidak,Tidak,850000000.0
Jakarta Selatan,"Pondok Indah , Jakarta Selatan                                         Pondok Indah, Jakarta Selatan",808,1000,7,7,Tidak,Tidak,70000000000.0
Jakarta Selatan,"Pondok Labu, Jakarta Selatan",50,55,3,3,Ada,Tidak,300000000.0
Jakarta Timur,"Kayu Manis, Jakarta Timur",60,120,4,2,Tidak,Tidak,700000000.0
Jakarta Utara,"Cilincing, Jakarta Utara",120,75,2,2,Tidak,Tidak,2000000000.0
Jakarta Selatan,"Jl. Bangka 2                                        Bangka, Jakarta Selatan",42,60,2,2,Tidak,Tidak,450000000.0
Jakarta Barat,"Tambora, Jakarta Barat",40,40,3,2,Tidak,Tidak,650000000.0
Jakarta Timur,"Dukuh, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta                                         Dukuh, Jakarta Timur",80,100,3,3,Ada,Ada,1880000000.0
Jakarta Timur,"Cililitan, Jakarta Timur",30,30,2,1,Tidak,Tidak,170000000.0
Jakarta Utara,"Sunter (Jakarta Utara)                                        Sunter, Jakarta Utara",217,350,5,4,Ada,Tidak,7000000000.0
Jakarta Timur,"Cililitan, Jakarta Timur",605,605,1,1,Ada,Tidak,10000000000.0
Jakarta Barat,"Kelapa Dua Kel., Kebon Jeruk, Jakarta Barat, JABODETABEK, Indonesia                                        Kelapa Dua, Jakarta Barat",60,36,2,2,Tidak,Tidak,100000000.0
Jakarta Selatan,"Lenteng Agung, Jakarta Selatan",80,33,2,1,Ada,Ada,285000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",52,50,1,1,Tidak,Tidak,300000000.0
Jakarta Selatan,"Cipedak, Jakarta Selatan",556,250,4,4,Tidak,Tidak,1900000000.0
Jakarta Timur,"Jalan Saprin, Jakarta Timur 13430, Indonesia                                        Pondok Bambu, Jakarta Timur",491,400,4,4,Ada,Ada,5500000000.0
Jakarta Timur,"Legenda Wisata, Jakarta Timur",72,70,2,1,Tidak,Tidak,750000000.0
Jakarta Barat,"Kalideres, Jakarta Barat",90,90,3,3,Tidak,Tidak,1350000000.0
Jakarta Selatan,"PESANGGRAHAN                                        Bintaro, Jakarta Selatan",110,90,4,2,Tidak,Tidak,1500000000.0
Jakarta Timur,"Duren Sawit, Jakarta Timur",50,55,3,3,Ada,Tidak,365000000.0
Jakarta Timur,"Cakung, Jakarta Timur",25,50,2,1,Tidak,Tidak,250000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan, JABODETABEK, Indonesia                                        Tebet, Jakarta Selatan",220,325,4,4,Tidak,Tidak,4300000000.0
Jakarta Utara,"Teluk Gong, Jakarta Utara",57,171,3,3,Tidak,Tidak,2100000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",160,285,5,6,Tidak,Tidak,3900000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",107,140,3,3,Tidak,Tidak,4900000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",72,71,3,2,Ada,Tidak,800000000.0
Jakarta Selatan,"Jl. Margasatwa Barat                                        Jagakarsa, Jakarta Selatan",1050,600,5,5,Tidak,Tidak,17000000000.0
Jakarta Utara,"Tanjung Priok, Jakarta Utara",425,700,5,6,Tidak,Tidak,12800000000.0
Jakarta Timur,"Cawang, Jakarta Timur",140,120,2,3,Tidak,Tidak,2700000000.0
Jakarta Selatan,"Lenteng Agung, Jakarta Selatan",60,60,3,2,Ada,Tidak,770000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",797,570,4,3,Tidak,Tidak,22500000000.0
Jakarta Timur,"Cipayung, Jakarta Timur",42,30,2,2,Ada,Tidak,155000000.0
Jakarta Timur,"Jalan Nilam, Jakarta Timur 13220, Indonesia                                        Rawamangun, Jakarta Timur",174,144,3,2,Tidak,Tidak,2750000000.0
Jakarta Timur,"Duren Sawit, Jakarta Timur",31,30,2,1,Ada,Tidak,170000000.0
Jakarta Selatan,"Ulujami, Jakarta Selatan",100,120,3,3,Tidak,Tidak,1500000000.0
Jakarta Barat,"Slipi, Jakarta Barat",50,36,2,1,Ada,Tidak,285000000.0
Jakarta Selatan,"Kebayoran Baru, Jakarta Selatan",60,40,2,1,Ada,Ada,600000000.0
Jakarta Barat,"Taman Palem Lestari, Jakarta Barat 11730, Indonesia                                        Cengkareng Barat, Jakarta Barat",56,75,2,2,Tidak,Tidak,880000000.0
Jakarta Utara,"Teluk Gong, Jakarta Utara",62,62,3,2,Tidak,Tidak,990000000.0
Jakarta Timur,"Halim Perdana Kusumah, Jakarta Timur",57,45,2,2,Ada,Tidak,265000000.0
Jakarta Selatan,"Jl. Sandong No.31, RT.004/RW.001, Pd. Pucung,                                         Jakarta Selatan",113,164,4,4,Ada,Ada,3966094714.0
Jakarta Timur,"Rawamangun, Jakarta Timur",55,40,2,2,Ada,Tidak,265000000.0
Jakarta Selatan,"Petukangan, Jakarta Selatan",330,192,4,2,Tidak,Tidak,3000000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",90,160,3,2,Tidak,Tidak,2300000000.0
Jakarta Barat,"mangga besar, jakarta barat                                        Mangga Besar, Jakarta Barat",136,171,5,5,Tidak,Tidak,3000000000.0
Jakarta Timur,"Pondok Kopi, Jakarta Timur",33,70,2,2,Tidak,Tidak,470000000.0
Jakarta Timur,"komplek TNI AU , waringin permai, jatiwaringin , kamoung melayu , jakarta timur                                        Kampung Tengah, Jakarta Timur",503,310,8,8,Tidak,Tidak,10000000000.0
Jakarta Barat,"Jelambar Baru Kel., Grogol Petamburan, Jakarta, JABODETABEK, Indonesia                                        Jelambar Baru, Jakarta Barat",52,100,3,3,Tidak,Tidak,1850000000.0
Jakarta Pusat,"Gunung Sahari, Jakarta Pusat",48,80,2,1,Tidak,Tidak,850000000.0
Jakarta Timur,"Pasar Rebo, Jakarta Timur",46,36,2,1,Tidak,Tidak,450000000.0
Jakarta Selatan,"Jl. Lb. Bulus Raya 1 Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440 Perumahan Bumi Harum Manis.                                        Lebak Bulus, Jakarta Selatan",1172,980,5,5,Ada,Ada,20000000000.0
Jakarta Selatan,"Lebak Bulus, Jakarta Selatan",1025,900,4,4,Tidak,Tidak,16000000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",62,72,3,2,Ada,Tidak,799000000.0
Jakarta Barat,"Kedoya Selatan, Jakarta Barat",90,160,4,3,Tidak,Tidak,2200000000.0
Jakarta Selatan,"Panglima Polim, Jakarta Selatan",300,295,4,5,Tidak,Tidak,17000000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",450,299,3,3,Tidak,Tidak,7000000000.0
Jakarta Timur,"Jl Batu Ampar II No 5C, Batu Ampar, Kramat Jati                                        Batu Ampar, Jakarta Timur",506,398,5,5,Tidak,Tidak,2995000000.0
Jakarta Timur,"Cawang, Jakarta Timur",136,70,3,3,Ada,Tidak,2400000000.0
Jakarta Barat,"Cengkareng, Jakarta Barat",49,100,3,3,Tidak,Tidak,1250000000.0
Jakarta Selatan,"Bintaro, Jakarta Selatan",180,90,3,1,Ada,Tidak,2900000000.0
Jakarta Selatan,"sektor 2 Bintaro jaya                                        Bintaro, Jakarta Selatan",180,225,5,5,Ada,Tidak,3100000000.0
Jakarta Barat,"Palmerah, Jakarta Barat",110,150,3,2,Tidak,Tidak,2700000000.0
Jakarta Timur,"Lubang Buaya, Jakarta Timur",42,30,2,1,Ada,Tidak,165000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",72,41,2,1,Tidak,Tidak,900000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",50,40,2,1,Ada,Ada,350000000.0
Jakarta Timur,"Jl. Swakarsa 1A                                        Pondok Kelapa, Jakarta Timur",282,250,5,5,Tidak,Tidak,2325000000.0
Jakarta Selatan,"Pasar Minggu, Jakarta Selatan",358,300,4,3,Tidak,Tidak,2500000000.0
Jakarta Timur,"Kota Wisata, Jakarta Timur",160,250,5,4,Ada,Tidak,2100000000.0
Jakarta Timur,"Matraman, Jakarta Timur",30,27,2,1,Ada,Ada,150000000.0
Jakarta Barat,"Taman Alfa Indah, Jakarta Barat 11640, Indonesia                                        Kedoya, Jakarta Barat",126,240,3,3,Tidak,Tidak,1900000000.0
Jakarta Timur,"Pondok Kelapa, Jakarta Timur",90,140,3,2,Ada,Tidak,1150000000.0
Jakarta Barat,"Kembangan, Jakarta Barat",250,500,5,4,Tidak,Tidak,2900000000.0
Jakarta Barat,"Jalan Taman Sari 8, Jakarta Barat, Indonesia                                        Glodok, Jakarta Barat",70,54,2,1,Tidak,Tidak,1300000000.0
Jakarta Utara,"Tanjung Priok, Jakarta Utara",424,700,4,4,Tidak,Tidak,12500000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",120,70,3,2,Tidak,Tidak,1223000000.0
Jakarta Selatan,"Menteng Dalam, Jakarta Selatan",121,71,3,2,Tidak,Tidak,1250000000.0
Jakarta Barat,"Cengkareng, Jakarta Barat",185,120,3,2,Tidak,Tidak,750000000.0
Jakarta Selatan,"Lebak Bulus, Jakarta Selatan",440,400,4,4,Tidak,Tidak,9500000000.0
Jakarta Selatan,"Lebak Bulus, Jakarta Selatan",500,750,8,8,Tidak,Tidak,7000000000.0
Jakarta Selatan,"Lebak Bulus, Jakarta Selatan",232,200,7,7,Ada,Tidak,7500000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",60,170,3,3,Tidak,Tidak,2900000000.0
Jakarta Pusat,"Tanah Tinggi, Jakarta Pusat",60,60,1,1,Tidak,Tidak,135000000.0
Jakarta Selatan,"Senayan, Jakarta Selatan",270,400,4,4,Tidak,Tidak,15000000000.0
Jakarta Timur,"Kramat Jati, Jakarta Timur",86,100,3,3,Ada,Tidak,1550000000.0
Jakarta Selatan,"Jl. Pembangunan, Bintaro, Jakarta Selatan, DKI Jakarta                                        Bintaro, Jakarta Selatan",1000,300,4,3,Tidak,Tidak,12000000000.0
Jakarta Timur,"Pulo Gebang, Jakarta Timur",190,110,3,2,Tidak,Tidak,1650000000.0
Jakarta Timur,"Cilangkap, Jakarta Timur",156,250,4,3,Tidak,Tidak,1300000000.0
Jakarta Timur,"Rawamangun, Jakarta Timur",480,350,6,6,Ada,Ada,6500000000.0
Jakarta Barat,"Duri Kepa, Jakarta Barat",67,120,4,3,Tidak,Tidak,2250000000.0
Jakarta Selatan,"Melawai, Jakarta Selatan",150,200,5,3,Tidak,Tidak,10500000000.0
Jakarta Timur,"Pisangan Baru, Jakarta Timur",23,40,2,1,Ada,Tidak,394000000.0
Jakarta Selatan,"Kebayoran Baru, Jakarta Selatan",72,72,2,1,Tidak,Tidak,720000000.0
Jakarta Timur,"Kramat Jati, Jakarta Timur",50,55,3,3,Ada,Tidak,335000000.0
Jakarta Pusat,"Jln Raya Parpostel                                        Johar Baru, Jakarta Pusat",78,48,2,1,Ada,Tidak,504000000.0
Jakarta Selatan,"Kebon Baru, Jakarta Selatan",30,30,2,1,Ada,Tidak,170000000.0
Jakarta Utara,"Sunter Agung, Jakarta Utara",180,300,3,3,Tidak,Tidak,6500000000.0
Jakarta Utara,"Kelapa Gading (Jakarta Utara)                                        Kelapa Gading, Jakarta Utara",153,250,5,4,Ada,Tidak,6500000000.0
Jakarta Pusat,Jakarta Pusat,230,150,4,4,Tidak,Tidak,3000000000.0
Jakarta Timur,"Kayu Manis, Jakarta Timur",34,60,3,1,Tidak,Tidak,300000000.0
Jakarta Selatan,"dekat Komplek Rancho Indah Tanjung Barat                                        Tanjung Barat, Jakarta Selatan",50,60,3,2,Tidak,Tidak,550000000.0
Jakarta Timur,"Kalisari, Jakarta Timur",57,40,2,2,Ada,Tidak,265000000.0
Jakarta Barat,"Joglo, Jakarta Barat",48,45,2,1,Tidak,Tidak,320000000.0
Jakarta Pusat,"Johar Baru, Jakarta Pusat",315,250,5,3,Tidak,Tidak,5000000000.0
Jakarta Selatan,"Petukangan Utara, Pesanggrahan                                        Pesanggrahan, Jakarta Selatan",166,220,4,4,Tidak,Tidak,800000000.0
Jakarta Timur,"Cibubur, Jakarta Timur",180,38,2,1,Ada,Tidak,440000000.0
Jakarta Barat,"Wijaya Kesuma, Jakarta Barat",85,210,5,5,Ada,Ada,3000000000.0
Jakarta Utara,"Koja, Jakarta, JABODETABEK, Indonesia                                        Koja, Jakarta Utara",80,60,2,1,Tidak,Tidak,1300000000.0
Jakarta Timur,"Cibubur, Jakarta Timur",120,50,3,3,Tidak,Tidak,625000000.0
Jakarta Barat,"Citra Garden                                        Cengkareng, Jakarta Barat",240,350,3,3,Tidak,Tidak,4100000000.0
Jakarta Utara,"Kelapa Gading, Jakarta Utara",102,102,3,2,Tidak,Tidak,1900000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",96,150,3,3,Ada,Ada,1300000000.0
Jakarta Selatan,"Kuningan, Jakarta Selatan",720,1000,5,5,Tidak,Tidak,83000000000.0
Jakarta Barat,"Duri Kepa, Jakarta Barat",70,135,3,2,Tidak,Tidak,1900000000.0
Jakarta Timur,"Cibubur                                        Kota Wisata, Jakarta Timur",128,180,3,2,Tidak,Tidak,1450000000.0
Jakarta Timur,"Pasar Rebo, Jakarta Timur",60,50,3,2,Tidak,Tidak,650000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",128,250,5,5,Ada,Tidak,3050000000.0
Jakarta Timur,"Cibubur, Jakarta Timur",60,100,3,3,Tidak,Tidak,1075000000.0
Jakarta Timur,"Cilangkap, Jakarta Timur",60,75,3,2,Tidak,Tidak,900000000.0
Jakarta Selatan,"Cipete, Jakarta Selatan",300,300,5,5,Tidak,Tidak,11000000000.0
Jakarta Barat,"Duri Kosambi, Jakarta Barat",22,40,2,1,Tidak,Tidak,349000000.0
Jakarta Timur,"Jl Raya Cibubur Cileungsi                                        Cibubur, Jakarta Timur",90,80,3,2,Ada,Ada,445000000.0
Jakarta Timur,"Ciracas, Jakarta Timur, Jakarta                                        Ciracas, Jakarta Timur",60,60,3,3,Ada,Tidak,650000000.0
Jakarta Timur,"Pinang Ranti, Jakarta Timur",58,58,2,1,Tidak,Tidak,450000000.0
Jakarta Barat,"Jl Mangga Besar Raya Jakarta Barat                                        Mangga Besar, Jakarta Barat",297,300,4,2,Ada,Ada,4300000000.0
Jakarta Barat,Jakarta Barat,128,128,3,2,Tidak,Tidak,1850000000.0
Jakarta Barat,"Kemanggisan, Jakarta Barat",75,70,2,2,Tidak,Tidak,850000000.0
Jakarta Timur,"Kota Wisata, Jakarta Timur",153,200,4,4,Ada,Ada,200000000.0
Jakarta Pusat,"Jalan Pramuka Sari III, Jakarta Pusat 10570, Indonesia                                        Cempaka Putih, Jakarta Pusat",93,160,4,4,Tidak,Tidak,1100000000.0
Jakarta Timur,"Condet, Jakarta Timur",50,55,3,3,Ada,Tidak,365000000.0
Jakarta Timur,"Condet, Jakarta Timur",35,70,3,1,Tidak,Tidak,400000000.0
Jakarta Utara,"Kelapa Gading, Jakarta Utara",45,62,2,2,Tidak,Tidak,2300000000.0
Jakarta Timur,"Condet, Jakarta Timur",42,80,3,2,Tidak,Tidak,650000000.0
Jakarta Selatan,"Ampera kemang                                        Kemang, Jakarta Selatan",1700,1000,4,4,Tidak,Tidak,70000000000.0
Jakarta Selatan,"Pejaten, Jakarta Selatan",1472,600,6,6,Tidak,Tidak,25000000000.0
