kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Timur,"Jalan Pembina 1, Jakarta Timur, Indonesia                                        Cijantung, Jakarta Timur",137,100,4,4,Tidak,Tidak,850000000.0
Jakarta Timur,"Cakung, Jakarta Timur",84,79,3,3,Ada,Ada,2100000000.0
Jakarta Selatan,"Jl.Simadakarsa Jagakarsa, Jakarta Selatan                                        Jagakarsa, Jakarta Selatan",273,200,4,4,Tidak,Tidak,4100000000.0
Jakarta Selatan,Jakarta Selatan,420,900,4,4,Tidak,Tidak,35000000000.0
Jakarta Utara,"Sunter, Jakarta Utara",300,310,5,4,Tidak,Tidak,7500000000.0
Jakarta Barat,"Jalan Perumahan Citra Garden 2, Jakarta Barat 11830, Indonesia                                        Kalideres, Jakarta Barat",150,150,3,2,Ada,Tidak,2500000000.0
Jakarta Utara,"Pademangan Timur, Jakarta Utara",260,84,3,3,Ada,Ada,2100000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",69,120,4,4,Tidak,Tidak,1500000000.0
Jakarta Selatan,"Jalan Minangkabau Timur                                        SetiaBudi, Jakarta Selatan",318,262,4,4,Tidak,Tidak,7100000000.0
Jakarta Barat,"Joglo, Jakarta Barat",313,500,5,5,Tidak,Tidak,4000000000.0
Jakarta Barat,"Jl. Joglo Raya                                        Joglo, Jakarta Barat",498,350,4,4,Tidak,Tidak,7500000000.0
Jakarta Selatan,"Gandaria Selatan, Jakarta Selatan",976,200,7,7,Tidak,Ada,19900000000.0
Jakarta Utara,"Pantai Indah Kapuk, Jakarta Utara",120,160,3,3,Tidak,Tidak,4300000000.0
Jakarta Barat,"Kebon Jeruk, Jakarta Barat",564,800,4,4,Tidak,Tidak,8500000000.0
Jakarta Selatan,"Kebayoran Lama, Jakarta Selatan",1129,705,6,4,Tidak,Tidak,21000000000.0
Jakarta Barat,"Kebon Jeruk, Jakarta Barat",1206,1500,6,6,Tidak,Tidak,12200000000.0
Jakarta Selatan,"Tebet, Jakarta Selatan",766,1000,4,4,Tidak,Tidak,43000000000.0
Jakarta Selatan,"Jalan Mampang Prapatan IV No 58                                        Mampang Prapatan, Jakarta Selatan",700,1000,4,4,Tidak,Tidak,10000000000.0
Jakarta Barat,"Komplek Hankam Joglo                                        Joglo, Jakarta Barat",360,400,4,4,Tidak,Tidak,5100000000.0
Jakarta Timur,"Cibubur, Jakarta Timur",75,85,4,4,Ada,Tidak,950000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",320,350,6,4,Tidak,Tidak,8500000000.0
